"Speaker","Word","approximants","Begin_Time_s","End_Time_s","Duration_ms","F0_20","F0_50","F0_80","F1_20","F1_50","F1_80","F2_20","F2_50","F2_80","F3_20","F3_50","F3_80","appsequence","vocalic","POA","Education","Age","Gender","POB","Manner","approximants_only"
"Ogbomoso1","terrestrial","r",64.11,64.14,30,177.8313447,177.5472467,177.6576543,521.3627956,512.693679,508.5837431,1881.738136,1885.98888,1893.133623,2249.943487,2252.610004,2251.388051,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","way","w",65.89,65.98579283,95.79282982,191.8985787,197.2246227,200.1743779,374.7405133,387.7020634,386.7660026,1074.025426,973.6037569,1659.280721,2873.37405,2733.770071,2758.36547,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","why","w",66.69,66.78539949,95.3994918,185.4724642,189.8364962,187.8500429,435.1654984,486.8771446,678.8173665,887.1805647,973.93218,1235.473591,2502.872969,2702.629408,2667.944779,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","awake","w",67.63,67.66,30,197.6627454,199.3606798,200.0140355,401.7627872,403.780855,403.5839705,1835.501814,1936.530689,2027.035097,2140.531184,2142.781883,2141.784452,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","runway","r",68.23,68.33,100,205.0077855,206.2417798,207.7195692,579.209205,562.9440461,503.212188,1483.455804,1304.325682,1236.244969,2194.949286,2592.488158,2646.490271,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","runway","w",68.47,68.61,140,198.0728762,189.1472981,180.6049163,255.0918154,380.2826076,368.2639719,1030.221108,1045.966413,1686.678752,2815.619489,2839.089241,2664.752608,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","what","w",69.13235093,69.27678069,144.4297656,188.8786719,192.2418438,187.5555533,426.3203761,463.5928294,558.4444603,852.9966594,909.8066381,1030.428424,2802.21808,2675.206066,2803.102032,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","clockwise","l",69.91,69.92798964,17.98963894,199.0846394,201.9753907,203.9512117,376.8383818,384.9309412,419.5792263,1684.393393,1555.635884,1464.635355,2683.558177,2710.395309,2710.483799,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","somewhere","w",71.15,71.21,60,203.1693833,205.1269963,203.8069023,325.7603659,338.2296893,340.1206496,1433.327122,1995.77182,2234.080599,2759.104686,2696.48522,2677.150363,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","newswire","j",71.92,71.99,70,201.9469833,204.5354294,206.1786493,274.5408263,274.2421259,357.906642,2308.6725,1924.964514,2019.472971,2658.965751,2712.207748,2738.223932,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","newswire","w",72.2,72.27,70,180.0828429,179.1119022,177.2743603,439.6376725,492.1487513,578.9869895,1019.16265,1040.973152,1063.492155,3197.574152,2805.517237,2755.715048,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","when","w",72.83,72.92,90,198.2422045,201.4792957,201.9211204,421.212465,496.3453726,524.6919425,864.4081933,1444.391257,1888.561064,2819.268439,2779.637621,2727.11654,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","you","j",73.56,73.67789698,117.8969845,190.0538511,191.6817319,198.478262,361.9197822,331.5969831,315.9862426,2601.399387,2573.012766,2596.1914,3485.156542,3407.51226,3253.269313,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","year","j",74.25946216,74.4074146,147.9524428,194.0081271,198.5055631,206.2397235,370.554447,383.0209478,402.3282172,2514.014154,2533.281776,2370.77006,3831.096628,3222.866851,2558.698531,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","young","j",74.97217615,75.0790307,106.854542,185.306404,187.7403155,194.0850517,379.3755269,358.1465496,372.7641577,1630.446441,2232.516074,2397.123059,2603.885724,2618.003962,2537.886236,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","europe","j",75.76870549,75.88377962,115.0741222,206.4668017,211.3092379,211.5347654,356.4243498,352.7136274,388.5398876,2469.19437,2326.470569,2089.343965,3669.412124,2510.784335,2462.913142,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","europe","r",75.88377962,75.92370329,39.92367505,210.3627569,210.3870861,209.3144687,404.7812813,407.1301612,411.359118,1683.302405,1531.515449,1449.562128,2268.796471,2278.684444,2254.609331,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","eulogy","j",76.48765504,76.54284365,55.18860963,217.6725878,210.4593748,208.4864418,400.7970045,367.0541676,335.0995445,1198.87619,2530.476581,2501.618681,2564.808072,3289.902656,3173.439275,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","eulogy","l",76.63,76.70533211,75.3321108,195.7360616,197.1830546,199.6105218,500.4447289,536.2831001,507.8823621,1409.465441,1342.398728,1491.780919,2834.47294,2815.88914,2748.470645,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","queue","j",77.31933029,77.39330651,73.97622142,229.2270776,227.0469894,224.4798956,282.1530434,374.5937201,412.0058998,2503.022863,2330.236317,2182.076219,3042.520724,2674.399886,2622.097596,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","huge","j",78.05399012,78.11622408,62.23396405,223.0507624,220.5595896,219.9758688,335.5661156,359.2994095,373.4320655,2493.472875,2415.625132,2079.222466,2879.847194,2690.310912,2624.493914,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","new","j",78.79,78.94093484,150.9348414,203.2474122,204.9731173,200.5329484,275.6537715,313.249121,300.6241986,2415.076748,2487.649201,2585.208841,2789.612658,3716.893116,2747.222579,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","music","j",79.45,79.59,140,197.0762047,203.8054744,200.0167012,373.4073764,260.3795948,280.939486,2038.34577,2469.660964,2310.757205,2515.320948,2631.719015,2739.260063,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
